image_id,domain,split,image_path
n07740461_1328,A (Apple),train,trainA/n07740461_1328.jpg
n07740461_13284,A (Apple),train,trainA/n07740461_13284.jpg
n07740461_13308,A (Apple),train,trainA/n07740461_13308.jpg
n07740461_13324,A (Apple),train,trainA/n07740461_13324.jpg
n07740461_13328,A (Apple),train,trainA/n07740461_13328.jpg
n07740461_13335,A (Apple),train,trainA/n07740461_13335.jpg
n07740461_1336,A (Apple),train,trainA/n07740461_1336.jpg
n07740461_13361,B (Orange),test,testB/n07740461_13361.jpg
n07740461_13368,A (Apple),train,trainA/n07740461_13368.jpg
n07740461_1338,A (Apple),train,trainA/n07740461_1338.jpg
n07740461_13382,A (Apple),train,trainA/n07740461_13382.jpg
n07740461_13390,B (Orange),test,testB/n07740461_13390.jpg
n07740461_13391,B (Orange),test,testB/n07740461_13391.jpg
n07740461_13395,A (Apple),train,trainA/n07740461_13395.jpg
n07740461_13444,A (Apple),train,trainA/n07740461_13444.jpg
n07740461_13449,A (Apple),train,trainA/n07740461_13449.jpg
n07740461_13465,A (Apple),train,trainA/n07740461_13465.jpg
n07740461_13477,A (Apple),train,trainA/n07740461_13477.jpg
n07740461_13482,A (Apple),train,trainA/n07740461_13482.jpg
n07740461_1352,A (Apple),train,trainA/n07740461_1352.jpg
n07740461_13528,A (Apple),train,trainA/n07740461_13528.jpg
n07740461_1354,A (Apple),train,trainA/n07740461_1354.jpg
n07740461_13552,A (Apple),train,trainA/n07740461_13552.jpg
n07740461_13579,A (Apple),train,trainA/n07740461_13579.jpg
n07740461_13580,B (Orange),test,testB/n07740461_13580.jpg
n07740461_13596,A (Apple),train,trainA/n07740461_13596.jpg
n07740461_13627,A (Apple),train,trainA/n07740461_13627.jpg
n07740461_13633,A (Apple),train,trainA/n07740461_13633.jpg
n07740461_13643,A (Apple),train,trainA/n07740461_13643.jpg
n07740461_13655,A (Apple),train,trainA/n07740461_13655.jpg
n07740461_13673,A (Apple),train,trainA/n07740461_13673.jpg
n07740461_13701,B (Orange),test,testB/n07740461_13701.jpg
n07740461_1371,B (Orange),test,testB/n07740461_1371.jpg
n07740461_13713,A (Apple),train,trainA/n07740461_13713.jpg
n07740461_13725,A (Apple),train,trainA/n07740461_13725.jpg
n07740461_13735,A (Apple),train,trainA/n07740461_13735.jpg
n07740461_1374,A (Apple),train,trainA/n07740461_1374.jpg
n07740461_13742,A (Apple),train,trainA/n07740461_13742.jpg
n07740461_1376,A (Apple),train,trainA/n07740461_1376.jpg
n07740461_13763,A (Apple),train,trainA/n07740461_13763.jpg
n07740461_13800,B (Orange),test,testB/n07740461_13800.jpg
n07740461_13806,A (Apple),train,trainA/n07740461_13806.jpg
n07740461_13832,A (Apple),train,trainA/n07740461_13832.jpg
n07740461_13846,A (Apple),train,trainA/n07740461_13846.jpg
n07740461_13851,B (Orange),test,testB/n07740461_13851.jpg
n07740461_13863,A (Apple),train,trainA/n07740461_13863.jpg
n07740461_13899,A (Apple),train,trainA/n07740461_13899.jpg
n07740461_13901,B (Orange),test,testB/n07740461_13901.jpg
n07740461_13907,A (Apple),train,trainA/n07740461_13907.jpg
n07740461_13931,B (Orange),test,testB/n07740461_13931.jpg
n07740461_13943,A (Apple),train,trainA/n07740461_13943.jpg
n07740461_13950,B (Orange),test,testB/n07740461_13950.jpg
n07740461_13958,A (Apple),train,trainA/n07740461_13958.jpg
n07740461_14006,A (Apple),train,trainA/n07740461_14006.jpg
n07740461_1402,A (Apple),train,trainA/n07740461_1402.jpg
n07740461_14022,A (Apple),train,trainA/n07740461_14022.jpg
n07740461_14035,A (Apple),train,trainA/n07740461_14035.jpg
n07740461_14036,A (Apple),train,trainA/n07740461_14036.jpg
n07740461_1405,A (Apple),train,trainA/n07740461_1405.jpg
n07740461_14085,A (Apple),train,trainA/n07740461_14085.jpg
n07740461_1410,B (Orange),test,testB/n07740461_1410.jpg
n07740461_14101,B (Orange),test,testB/n07740461_14101.jpg
n07740461_14116,A (Apple),train,trainA/n07740461_14116.jpg
n07740461_14137,A (Apple),train,trainA/n07740461_14137.jpg
n07740461_14192,A (Apple),train,trainA/n07740461_14192.jpg
n07740461_14211,B (Orange),test,testB/n07740461_14211.jpg
n07740461_14224,A (Apple),train,trainA/n07740461_14224.jpg
n07740461_14236,A (Apple),train,trainA/n07740461_14236.jpg
n07740461_14237,A (Apple),train,trainA/n07740461_14237.jpg
n07740461_14245,A (Apple),train,trainA/n07740461_14245.jpg
n07740461_14257,A (Apple),train,trainA/n07740461_14257.jpg
n07740461_14273,A (Apple),train,trainA/n07740461_14273.jpg
n07740461_14278,A (Apple),train,trainA/n07740461_14278.jpg
n07740461_14300,B (Orange),test,testB/n07740461_14300.jpg
n07740461_14314,A (Apple),train,trainA/n07740461_14314.jpg
n07740461_14327,A (Apple),train,trainA/n07740461_14327.jpg
n07740461_14341,B (Orange),test,testB/n07740461_14341.jpg
n07740461_1438,A (Apple),train,trainA/n07740461_1438.jpg
n07740461_14384,A (Apple),train,trainA/n07740461_14384.jpg
n07740461_14394,A (Apple),train,trainA/n07740461_14394.jpg
n07740461_14403,A (Apple),train,trainA/n07740461_14403.jpg
n07740461_14414,A (Apple),train,trainA/n07740461_14414.jpg
n07740461_14439,A (Apple),train,trainA/n07740461_14439.jpg
n07740461_14450,B (Orange),test,testB/n07740461_14450.jpg
n07740461_14475,A (Apple),train,trainA/n07740461_14475.jpg
n07740461_14476,A (Apple),train,trainA/n07740461_14476.jpg
n07740461_14501,B (Orange),test,testB/n07740461_14501.jpg
n07740461_14509,A (Apple),train,trainA/n07740461_14509.jpg
n07740461_14510,B (Orange),test,testB/n07740461_14510.jpg
n07740461_14512,A (Apple),train,trainA/n07740461_14512.jpg
n07740461_14516,A (Apple),train,trainA/n07740461_14516.jpg
n07740461_14520,B (Orange),test,testB/n07740461_14520.jpg
n07740461_14525,A (Apple),train,trainA/n07740461_14525.jpg
n07740461_1453,A (Apple),train,trainA/n07740461_1453.jpg
n07740461_14531,B (Orange),test,testB/n07740461_14531.jpg
n07740461_14542,A (Apple),train,trainA/n07740461_14542.jpg
n07740461_14543,A (Apple),train,trainA/n07740461_14543.jpg
n07740461_14551,B (Orange),test,testB/n07740461_14551.jpg
n07740461_14553,A (Apple),train,trainA/n07740461_14553.jpg
n07740461_14557,A (Apple),train,trainA/n07740461_14557.jpg
n07740461_14568,A (Apple),train,trainA/n07740461_14568.jpg
n07740461_14570,B (Orange),test,testB/n07740461_14570.jpg
n07740461_14586,A (Apple),train,trainA/n07740461_14586.jpg
n07740461_14593,A (Apple),train,trainA/n07740461_14593.jpg
n07740461_14600,B (Orange),test,testB/n07740461_14600.jpg
n07740461_14612,A (Apple),train,trainA/n07740461_14612.jpg
n07740461_14619,A (Apple),train,trainA/n07740461_14619.jpg
n07740461_14621,B (Orange),test,testB/n07740461_14621.jpg
n07740461_14638,A (Apple),train,trainA/n07740461_14638.jpg
n07740461_14639,A (Apple),train,trainA/n07740461_14639.jpg
n07740461_14645,A (Apple),train,trainA/n07740461_14645.jpg
n07740461_14646,A (Apple),train,trainA/n07740461_14646.jpg
n07740461_1470,B (Orange),test,testB/n07740461_1470.jpg
n07740461_14703,A (Apple),train,trainA/n07740461_14703.jpg
n07740461_14706,A (Apple),train,trainA/n07740461_14706.jpg
n07740461_14713,A (Apple),train,trainA/n07740461_14713.jpg
n07740461_14721,B (Orange),test,testB/n07740461_14721.jpg
n07740461_14722,A (Apple),train,trainA/n07740461_14722.jpg
n07740461_14724,A (Apple),train,trainA/n07740461_14724.jpg
n07740461_14729,A (Apple),train,trainA/n07740461_14729.jpg
n07740461_14738,A (Apple),train,trainA/n07740461_14738.jpg
n07740461_14740,B (Orange),test,testB/n07740461_14740.jpg
n07740461_14743,A (Apple),train,trainA/n07740461_14743.jpg
n07740461_14744,A (Apple),train,trainA/n07740461_14744.jpg
n07740461_14746,A (Apple),train,trainA/n07740461_14746.jpg
n07740461_1475,A (Apple),train,trainA/n07740461_1475.jpg
n07740461_14750,B (Orange),test,testB/n07740461_14750.jpg
n07740461_14755,A (Apple),train,trainA/n07740461_14755.jpg
n07740461_14760,B (Orange),test,testB/n07740461_14760.jpg
n07740461_14767,A (Apple),train,trainA/n07740461_14767.jpg
n07740461_14785,A (Apple),train,trainA/n07740461_14785.jpg
n07740461_14788,A (Apple),train,trainA/n07740461_14788.jpg
n07740461_14791,B (Orange),test,testB/n07740461_14791.jpg
n07740461_14797,A (Apple),train,trainA/n07740461_14797.jpg
n07740461_1480,B (Orange),test,testB/n07740461_1480.jpg
n07740461_14802,A (Apple),train,trainA/n07740461_14802.jpg
n07740461_14811,B (Orange),test,testB/n07740461_14811.jpg
n07740461_14813,A (Apple),train,trainA/n07740461_14813.jpg
n07740461_14818,A (Apple),train,trainA/n07740461_14818.jpg
n07740461_14821,B (Orange),test,testB/n07740461_14821.jpg
n07740461_14824,A (Apple),train,trainA/n07740461_14824.jpg
n07740461_14825,A (Apple),train,trainA/n07740461_14825.jpg
n07740461_14859,A (Apple),train,trainA/n07740461_14859.jpg
n07740461_14860,B (Orange),test,testB/n07740461_14860.jpg
n07740461_14862,A (Apple),train,trainA/n07740461_14862.jpg
n07740461_14869,A (Apple),train,trainA/n07740461_14869.jpg
n07740461_14886,A (Apple),train,trainA/n07740461_14886.jpg
n07740461_14889,A (Apple),train,trainA/n07740461_14889.jpg
n07740461_14893,A (Apple),train,trainA/n07740461_14893.jpg
n07740461_14895,A (Apple),train,trainA/n07740461_14895.jpg
n07740461_1490,B (Orange),test,testB/n07740461_1490.jpg
n07740461_14903,A (Apple),train,trainA/n07740461_14903.jpg
n07740461_14912,A (Apple),train,trainA/n07740461_14912.jpg
n07740461_14913,A (Apple),train,trainA/n07740461_14913.jpg
n07740461_14919,A (Apple),train,trainA/n07740461_14919.jpg
n07740461_14923,A (Apple),train,trainA/n07740461_14923.jpg
n07740461_14931,B (Orange),test,testB/n07740461_14931.jpg
n07740461_14939,A (Apple),train,trainA/n07740461_14939.jpg
n07740461_1494,A (Apple),train,trainA/n07740461_1494.jpg
n07740461_14954,A (Apple),train,trainA/n07740461_14954.jpg
n07740461_14956,A (Apple),train,trainA/n07740461_14956.jpg
n07740461_14959,A (Apple),train,trainA/n07740461_14959.jpg
n07740461_1496,A (Apple),train,trainA/n07740461_1496.jpg
n07740461_14960,B (Orange),test,testB/n07740461_14960.jpg
n07740461_14969,A (Apple),train,trainA/n07740461_14969.jpg
n07740461_14978,A (Apple),train,trainA/n07740461_14978.jpg
n07740461_14994,A (Apple),train,trainA/n07740461_14994.jpg
n07740461_14997,A (Apple),train,trainA/n07740461_14997.jpg
n07740461_15003,A (Apple),train,trainA/n07740461_15003.jpg
n07740461_15010,B (Orange),test,testB/n07740461_15010.jpg
n07740461_15013,A (Apple),train,trainA/n07740461_15013.jpg
n07740461_15014,A (Apple),train,trainA/n07740461_15014.jpg
n07740461_15047,A (Apple),train,trainA/n07740461_15047.jpg
n07740461_15051,B (Orange),test,testB/n07740461_15051.jpg
